中文名稱	Jira名稱	Jira連結
電子共用	RSG.Web.Slot.Common	https://auforce.atlassian.net/jira/software/c/projects/SC/issues
魚機共用	RSG.Web.Fish.Common	https://auforce.atlassian.net/jira/software/c/projects/RSGFC/issues
活動	RSG.Web.EventIssues	https://auforce.atlassian.net/jira/software/c/projects/EV/issues
泰有錢	RSG.Web.Slot.FortuneThai	https://auforce.atlassian.net/browse/FOR
魔法石	RSG.Web.Slot.MagicGem	https://auforce.atlassian.net/browse/MAG
皇家777	RSG.Web.Slot.Royal777	"https://auforce.atlassian.net/browse/RL
https://auforce.atlassian.net/browse/ROYAL"
慾望城市	RSG.Web.Slot.LoveCity	https://auforce.atlassian.net/browse/LOV
金鷄報喜	RSG.Web.Slot.GoldChicken	https://auforce.atlassian.net/browse/GOL
法老王	RSG.Web.Slot.Pharaoh	https://auforce.atlassian.net/browse/PHAR
阿里巴巴	RSG.Web.Slot.Alibaba	https://auforce.atlassian.net/browse/AL
幸運水果	RSG.Web.Slot.LuckyFruits	https://auforce.atlassian.net/browse/LCKFRTS
動物叢林	RSG.Web.Slot.Jungle	https://auforce.atlassian.net/browse/JUN
虎克船長	RSG.Web.Slot.CaptainHook	https://auforce.atlassian.net/browse/CAP
野蠻遊戲	RSG.Web.Slot.HUCA	https://auforce.atlassian.net/browse/HUCA
甜蜜糖果	RSG.Web.Slot.SweetCandy	https://auforce.atlassian.net/browse/SWEET
烈焰轉輪	RSG.Web.Slot.FireSpin	https://auforce.atlassian.net/browse/FIR
大力水手	RSG.Web.Slot.Popeye	https://auforce.atlassian.net/browse/POP
瘋狂博士	RSG.Web.Slot.CrazyDoctor	https://auforce.atlassian.net/browse/CRAZ
永不停止	RSG.Web.Slot.Nonstop	https://auforce.atlassian.net/browse/NON
五龍爭霸	RSG.Web.Slot.5Dragons	https://auforce.atlassian.net/browse/KBWE
七十二變	RSG.Web.Slot.72Changes	https://auforce.atlassian.net/browse/TWCH
人魚傳說	RSG.Web.Slot.Mermaid	https://auforce.atlassian.net/browse/MER
荒野水牛	RSG.Web.Slot.Buffalo	https://auforce.atlassian.net/browse/BUF
竹林熊貓	RSG.Web.Slot.WildPanda	https://auforce.atlassian.net/browse/WIL
泰好運	RSG.Web.Slot.LuckyThailand	https://auforce.atlassian.net/browse/LUC
財神到	RSG.Web.Slot.GodofWealth	https://auforce.atlassian.net/browse/GOD
行運一條龍	RSG.Web.Slot.LuckyDragon	https://auforce.atlassian.net/browse/LCKFRTS
HUSA	RSG.Web.Slot.HUSA	https://auforce.atlassian.net/browse/HUSA
龍王	RSG.Web.Slot.DragonKing	https://auforce.atlassian.net/browse/DRAG
提金派對	RSG.Web.Slot.TikiParty	https://auforce.atlassian.net/browse/TIK
礦工哥布林	RSG.Web.Slot.GoblinMiner	https://auforce.atlassian.net/browse/GOB
幸運拉霸	RSG.Web.Slot.LuckyBar	https://auforce.atlassian.net/browse/LCKBR
非洲	RSG.Web.Slot.Africa	https://auforce.atlassian.net/browse/AF
巫師商店	RSG.Web.Slot.WizardStore	https://auforce.atlassian.net/browse/WIZ
家犬先生	RSG.Web.Slot.MrDoggy	https://auforce.atlassian.net/browse/MRDOG
迪斯可之夜	RSG.Web.Slot.DiscoNight	https://auforce.atlassian.net/browse/DIS
農場夜驚魂	RSG.Web.Slot.HorrorNights	https://auforce.atlassian.net/browse/HOR
武媚娘	RSG.Web.Slot.ChinaEmpress	https://auforce.atlassian.net/browse/CHIN
福娃發發	RSG.Web.Slot.FuWaFaFa	https://auforce.atlassian.net/browse/FUW
泰山	RSG.Web.Slot.Tarzan	https://auforce.atlassian.net/browse/TAR
墨西哥辣椒	RSG.Web.Slot.Jalapeno	https://auforce.atlassian.net/browse/JAL
金豬爆吉	RSG.Web.Slot.PiggyPunch	https://auforce.atlassian.net/browse/PIG
七起來	RSG.Web.Slot.SevensHigh	https://auforce.atlassian.net/browse/SEV
女忍者	RSG.Web.Slot.Kunoichi	https://auforce.atlassian.net/browse/KUN
忍者	RSG.Web.Slot.Ninja	https://auforce.atlassian.net/browse/NIN
果凍27	RSG.Web.Slot.Jelly27	https://auforce.atlassian.net/browse/JEL
暴怒棕熊	RSG.Web.Slot.AngryBear	https://auforce.atlassian.net/browse/AN
海神	RSG.Web.Slot.Poseidon	https://auforce.atlassian.net/browse/POS
跳跳獅	RSG.Web.Slot.DancingLion	https://auforce.atlassian.net/browse/DAN
美杜莎	RSG.Web.Slot.Medusa	https://auforce.atlassian.net/browse/MED
美狄亞	RSG.Web.Slot.Medea	https://auforce.atlassian.net/browse/MD
霓虹圓	RSG.Web.Slot.NeonCircle	https://auforce.atlassian.net/browse/NEON
嗨起來	RSG.Web.Slot.GetHigh	https://auforce.atlassian.net/browse/GET
西部牛仔	RSG.Web.Slot.Cowboy	https://auforce.atlassian.net/browse/COW
賣火柴的小女孩	RSG.Web.Slot.TheLittleMatchGirl	https://auforce.atlassian.net/browse/THEL
秘林熊貓	RSG.Web.Slot.MysteryPanda	https://auforce.atlassian.net/browse/MYS
嘻哈金剛	RSG.Web.Slot.HipHopMonkey	https://auforce.atlassian.net/browse/HIP
黃金之書	RSG.Web.Slot.BookofGold	https://auforce.atlassian.net/browse/BOOK
太極	RSG.Web.Slot.TaiChi	https://auforce.atlassian.net/browse/TAIC
金色幸運草	RSG.Web.Slot.GoldenLeafClover	https://auforce.atlassian.net/browse/GL
巫師商店黃金版	RSG.Web.Slot.WizardStoreGold	https://auforce.atlassian.net/browse/WZ
鼠來寶	RSG.Web.Slot.RatsMoney	https://auforce.atlassian.net/browse/RAT
潑水節	RSG.Web.Slot.Songkran	https://auforce.atlassian.net/browse/SON
精靈射手	RSG.Web.Slot.ElfArcher	https://auforce.atlassian.net/browse/EL
黃金摔角手	RSG.Web.Slot.Luchadors	https://auforce.atlassian.net/browse/LCHDRS
小熊王國	RSG.Web.Slot.BearKingdom	https://auforce.atlassian.net/browse/BEAR
皇家7777	RSG.Web.Slot.Royal7777	https://auforce.atlassian.net/browse/RL
龍王2	RSG.Web.Slot.DragonKing2	https://auforce.atlassian.net/browse/DRG2
法老王 II	RSG.Web.Slot.PharaohII	https://auforce.atlassian.net/browse/PHR
龍行天下	RSG.Web.Slot.DragonFight	https://auforce.atlassian.net/browse/DRGNFGHT
羅馬競技場	RSG.Web.Slot.Roma	https://auforce.atlassian.net/browse/ROMA
開心農場	RSG.Web.Slot.HappyFarm	https://auforce.atlassian.net/browse/HAP
雷神之錘	RSG.Web.Slot.PowerOfThor	https://auforce.atlassian.net/browse/POW
秦皇傳說	RSG.Web.Slot.ChinShiHuang	https://auforce.atlassian.net/browse/CHN
聚寶財神	RSG.Web.Slot.CaishenWins	https://auforce.atlassian.net/browse/CAIS
勇闖黃金城	RSG.Web.Slot.FortuneOfAztecs	https://auforce.atlassian.net/browse/FRTNFZTCS
麻將發了	RSG.Web.Slot.MahjongWays	https://auforce.atlassian.net/browse/MAH
麻將發了2	"RSG.Web.Slot.RichMahjong2
RSG.Web.Slot.MahjongWays2"	https://auforce.atlassian.net/browse/MH
魔龍傳奇	RSG.Web.Slot.DragonLegend	https://auforce.atlassian.net/browse/DRGNLGND
有請財神	RSG.Web.Slot.CaishenComing	https://auforce.atlassian.net/browse/CSHNCMNG
