議題類型,議題索引鍵,議題 ID,摘要,受託人,受託人 ID,回報者,回報者 ID,優先順序,狀態,解決方法,已建立,已更新,截止日期
改善,RSGCLUXE-94,75329,0727 【Uat】【R5】機台新遊戲 -奢華音檔調整,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,Medium,待辦,,27/七月/26 3:42 下午,27/七月/26 3:42 下午,
漏洞,RSGCLUXE-93,75325,"0727 【Uat】【R5】機台新遊戲 - 奢華-開啟額外投注後,spin一把,BET會跳回原本BET",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,27/七月/26 3:04 下午,28/七月/26 8:37 上午,
漏洞,RSGCLUXE-92,75324,"0727 【Uat】【R5】機台新遊戲 - 奢華-秀線時跳過,下方尚未亮起的贏分symbol框/倍數均不會顯示",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,27/七月/26 2:35 下午,28/七月/26 8:39 上午,
漏洞,RSGCLUXE-91,75236,"0725 【Uat】【R4】機台新遊戲 - 奢華-使用低於BG bet購買免遊後,下次打開購買面板,bet應為上次購買值",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,25/七月/26 8:31 下午,27/七月/26 10:42 上午,
漏洞,RSGCLUXE-90,75234,"0725 【Uat】【R4】機台新遊戲 - 奢華-FG2/3內JP框有連線贏分時,斷線重連,下一轉時JP文案不會消失(會導致遞補倍數重疊展示)",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,25/七月/26 2:54 下午,27/七月/26 2:25 下午,
漏洞,RSGCLUXE-89,75233,0725 【Uat】【R4】機台新遊戲 - 奢華-FG2/3有MAXWIN(正常結束/斷線重連)回到BG時倍數顯示不一致,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,25/七月/26 2:42 下午,27/七月/26 2:22 下午,
漏洞,RSGCLUXE-88,75230,"0724 【Uat】【R3】機台新遊戲 - 奢華-額外押分/購買特色切換,會導致後續bet異常",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 6:55 下午,25/七月/26 8:00 下午,
漏洞,RSGCLUXE-87,75227,"0724 【Uat】【R3】機台新遊戲 - 奢華-開啟額外押分後,透過購買特色將bet調整低於BG bet,此時關閉界面,bet不會跳回BG下限",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 6:40 下午,25/七月/26 1:17 下午,
漏洞,RSGCLUXE-85,75222,"0724 【Uat】【R3】機台新遊戲 - 奢華-大獎動畫關閉時,再次按下spin,大獎動畫會短暫再次彈出",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,觀察中,,24/七月/26 5:45 下午,27/七月/26 4:53 下午,
漏洞,RSGCLUXE-84,75215,"0724 【Uat】【R3】機台新遊戲 - 奢華-倍數/JP特色倍幸運草收集後,進出遊戲會重新出現",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 5:08 下午,25/七月/26 1:26 下午,
漏洞,RSGCLUXE-83,75214,0724 【Uat】【R3】機台新遊戲 - 奢華-FG結算畫面可以點擊即停、選單按鈕,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,未解決問題,,24/七月/26 4:53 下午,24/七月/26 5:43 下午,
漏洞,RSGCLUXE-82,75211,"0724 【Uat】【R3】機台新遊戲 - 奢華-贏分線秀分時轉動,分數仍會短暫停在版面",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 4:30 下午,27/七月/26 2:16 下午,
漏洞,RSGCLUXE-81,75210,0724 【Uat】【R3】機台新遊戲 - 奢華-贏線經過彩金，彩金收集時按下Spin會使遊戲卡住,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,Mark Chen,712020:cadd47e2-593f-4682-8a1b-fbb0d12ae649,Medium,結案,,24/七月/26 4:24 下午,28/七月/26 10:11 上午,
漏洞,RSGCLUXE-80,75209,"0724 【Uat】【R3】機台新遊戲 - 奢華-贏分時下方會直接顯示該局贏分,不會有滾分動畫",ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 4:16 下午,25/七月/26 12:51 下午,
漏洞,RSGCLUXE-79,75208,"0724 【Uat】【R3】機台新遊戲 - 奢華-BIGWIN動畫出現時,上下贏分應同步滾動",ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 4:04 下午,25/七月/26 12:51 下午,
漏洞,RSGCLUXE-78,75205,0724 【Uat】【R3】機台新遊戲 - 奢華-觸發大獎畫面會卡住 要再按一次SPIN才會撥放動畫,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,觀察中,,24/七月/26 3:08 下午,25/七月/26 7:24 下午,
漏洞,RSGCLUXE-77,75163,"0724 【Uat】【R3】機台新遊戲 - 奢華-Trigger FG/Retrigger時,倍數不該亮起",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,未解決問題,,24/七月/26 2:34 下午,24/七月/26 4:55 下午,
漏洞,RSGCLUXE-76,75126,"0724 【Uat】【R3】機台新遊戲 - 奢華-倍數升級超過24X後,框沒有一併升級為粗框",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 1:59 下午,28/七月/26 8:40 上午,
漏洞,RSGCLUXE-75,75125,0724 【Uat】【R3】機台新遊戲 - 奢華-Retrigger文案遮罩會遮擋到右下'剩餘選轉',Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 1:54 下午,25/七月/26 12:50 下午,
漏洞,RSGCLUXE-74,75113,0724 【Uat】【R3】機台新遊戲 - 奢華-秀線動畫應該操作界面其餘功能(如調整bet/開啟購買免遊選單等)時就停止,Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 1:33 下午,27/七月/26 2:08 下午,
漏洞,RSGCLUXE-73,75106,"0724 【Uat】【R3】機台新遊戲 - 奢華-B1期待動畫時,後方軸會先停止轉動",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 1:31 下午,27/七月/26 2:05 下午,
漏洞,RSGCLUXE-72,75105,0724 【Uat】【R3】機台新遊戲 - 奢華-遊戲有機率會卡住,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,24/七月/26 1:31 下午,28/七月/26 8:42 上午,
漏洞,RSGCLUXE-71,75056,"0724 【Uat】【R3】機台新遊戲 - 奢華-盤面多連線贏分,跳過贏分線時,會將所有贏分展示",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,24/七月/26 11:55 上午,27/七月/26 2:04 下午,
漏洞,RSGCLUXE-70,75055,0724 【Uat】【R3】機台新遊戲 - 奢華-贏分即停時會重複贏分動畫,cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,24/七月/26 11:52 上午,27/七月/26 10:55 上午,
漏洞,RSGCLUXE-69,75003,"0721 【Uat】【R2】機台新遊戲 - 奢華-進出免遊,畫面已出現開始/領獎/確認,此時實體按鈕旋轉需等待一段時間才會亮起且作用",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,23/七月/26 1:25 下午,24/七月/26 11:15 上午,
漏洞,RSGCLUXE-68,75002,"0721 【Uat】【R2】機台新遊戲 - 奢華-進入遊戲Loading頁面,此時點擊可開啟額外押分介面/BET介面/面額介面",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,23/七月/26 11:46 上午,24/七月/26 11:21 上午,
漏洞,RSGCLUXE-67,74997,"0721 【Uat】【R2】機台新遊戲 - 奢華-FG內幸運草收集後倍數會消失,下一轉才會出現",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,重啟問題,,23/七月/26 11:21 上午,27/七月/26 2:01 下午,
漏洞,RSGCLUXE-66,74985,"0721 【Uat】【R2】機台新遊戲 - 奢華-FG內JP特色計分時,重新給新值,此時就算給的新值是JP/高倍數,框也會是細框",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,23/七月/26 10:37 上午,24/七月/26 2:10 下午,
漏洞,RSGCLUXE-65,74984,"0721 【Uat】【R2】機台新遊戲 - 奢華-倍數連線計分,斷線重連後該格會先顯示舊的倍數,下一把轉動中才會更改值",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,觀察中,,23/七月/26 10:30 上午,26/七月/26 3:22 下午,
漏洞,RSGCLUXE-64,74976,"0721 【Uat】【R2】機台新遊戲 - 奢華-Trigger FG  (有其他贏分),該把贏分應列入FG內計算",cyanhsu,712020:741add0b-8775-4f87-9776-f4cb6ca24d10,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 5:33 下午,24/七月/26 2:17 下午,
漏洞,RSGCLUXE-63,74973,"0721 【Uat】【R2】機台新遊戲 - 奢華-開啟額外押分後斷線重連,額外押分按鈕為啟用時文案",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 5:07 下午,24/七月/26 2:24 下午,
漏洞,RSGCLUXE-62,74960,"0722 【Uat】【R2】機台新遊戲 - 奢華-離開FG時購買免遊按鈕消失,其餘功能禁能(除spin)",Gms,5d147d02e207030bd3c6bdd2,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,觀察中,,22/七月/26 3:24 下午,24/七月/26 3:34 下午,
漏洞,RSGCLUXE-61,74951,0722 【Uat】【R2】機台新遊戲 - 奢華-轉動的時候 二、四軸不會顯示BONUS,阿仁,712020:f6f5fdbb-bf5f-4d65-9648-d8fe549bd614,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,處理中,,22/七月/26 1:51 下午,22/七月/26 5:42 下午,
改善,RSGCLUXE-60,74950,0721 【Uat】【R2】Help文案調整,Gene Huang,712020:9210c724-bb2a-4446-9f22-8bd2832cce5a,ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,Medium,完成,完成,22/七月/26 1:31 下午,28/七月/26 8:36 上午,
漏洞,RSGCLUXE-59,74944,0722 【Uat】【R2】機台新遊戲 - 奢華-額外壓分、購買特色有綠色打勾符號,ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Thomas,712020:a4ed337d-b668-43e3-9ff7-fa923c3e6f0a,Medium,結案,,22/七月/26 11:50 上午,22/七月/26 12:36 下午,
漏洞,RSGCLUXE-58,74943,0721 【Uat】【R2】機台新遊戲 - 奢華-購買特色-BET低於BG押分下限，FG結束回到BG後，上方JP未正確顯示,Gms,5d147d02e207030bd3c6bdd2,QA-Sean,712020:b375f0f5-88f2-47e8-a8c3-fd4117da78fa,Medium,結案,,22/七月/26 11:39 上午,24/七月/26 2:35 下午,
漏洞,RSGCLUXE-57,74938,"0721 【Uat】【R2】機台新遊戲 - 奢華-FG內倍數刷新時,如原本是粗金框應先變為細框",ChristineChiang,712020:c5e63bfe-ceb7-4718-91f9-29db95ee1349,QA-Leo,712020:43438060-b8b0-4b3f-963e-fc65356d9672,Medium,結案,,22/七月/26 10:22 上午,24/七月/26 2:47 下午,
